Ri,M,Eta,k,Nuval
10,0,1.29,3.0,-11.72288
10,0,1.3,3.0,-10.31257
10,0,1.31,3.0,-8.58975
10,0,1.32,3.0,-6.57704
10,0,1.33,3.0,-4.30334
10,0,1.34,3.0,-1.80341
10,0,1.35,3.0,0.88244
10,0,1.36,3.0,3.70893
10,0,1.37,3.0,6.62629
10,0,1.38,3.0,9.58113
10,0,1.39,3.0,12.51754
10,0,1.4,3.0,15.37775
10,0,1.41,3.0,18.1035
10,0,1.42,3.0,20.63719
10,0,1.43,3.0,22.92318
10,0,1.44,3.0,24.9091
10,0,1.45,3.0,26.54707
10,0,1.46,3.0,27.79506
10,0,1.47,3.0,28.61826
10,0,1.48,3.0,28.98992
10,0,1.49,3.0,28.89264
10,0,1.5,3.0,28.31904
10,0,1.51,3.0,27.27253
10,0,1.52,3.0,25.76768
10,0,1.53,3.0,23.83035
10,0,1.54,3.0,21.49757
10,0,1.55,3.0,18.8173
10,0,1.56,3.0,15.84751
10,0,1.57,3.0,12.65529
10,0,1.58,3.0,9.31547
10,0,1.59,3.0,5.90916
10,0,1.6,3.0,2.52163
10,0,1.61,3.0,-0.75958
10,0,1.62,3.0,-3.84693
10,0,1.63,3.0,-6.65535
10,0,1.64,3.0,-9.10462
10,0,1.65,3.0,-11.12198
10,0,1.66,3.0,-12.64417
10,0,1.67,3.0,-13.62018
10,0,1.68,3.0,-14.01265
10,0,1.69,3.0,-13.79995
10,0,1.7,3.0,-12.9774
10,0,1.71,3.0,-11.55803
10,0,1.72,3.0,-9.57297
10,0,1.73,3.0,-7.07122
10,0,1.74,3.0,-4.11904
10,0,1.75,3.0,-0.7982
10,0,1.76,3.0,2.79549
10,0,1.77,3.0,6.55503
10,0,1.78,3.0,10.36504
10,0,1.79,3.0,14.10527
10,0,1.8,3.0,17.65439
10,0,1.81,3.0,20.89388
10,0,1.82,3.0,23.71215
10,0,1.83,3.0,26.00866
10,0,1.84,3.0,27.69771
10,0,1.85,3.0,28.7121
10,0,1.86,3.0,29.006
10,0,1.87,3.0,28.55757
10,0,1.88,3.0,27.37062
10,0,1.89,3.0,25.47529
10,0,1.9,3.0,22.92811
10,0,1.91,3.0,19.81085
10,0,1.92,3.0,16.22843
10,0,1.93,3.0,12.30575
10,0,1.94,3.0,8.1839
10,0,1.95,3.0,4.01504
10,0,1.96,3.0,-0.04279
10,0,1.97,3.0,-3.83178
10,0,1.98,3.0,-7.20055
10,0,1.99,3.0,-10.01054
10,0,2.0,3.0,-12.1418
-1,3,0.0,4.0,0.57784
-1,3,0.01,4.0,0.567
-1,3,0.02,4.0,0.53484
-1,3,0.03,4.0,0.48119
-1,3,0.04,4.0,0.4063
-1,3,0.05,4.0,0.31049
-1,3,0.06,4.0,0.19375
-1,3,0.07,4.0,0.0567
-1,3,0.08,4.0,-0.10032
-1,3,0.09,4.0,-0.27685
-1,3,0.1,4.0,-0.4726
-1,3,0.11,4.0,-0.68685
-1,3,0.12,4.0,-0.91906
-1,3,0.13,4.0,-1.16867
-1,3,0.14,4.0,-1.43502
-1,3,0.15,4.0,-1.71768
-1,3,0.16,4.0,-2.01593
-1,3,0.17,4.0,-2.32926
-1,3,0.18,4.0,-2.65714
-1,3,0.19,4.0,-2.99914
-1,3,0.2,4.0,-3.35464
-1,3,0.21,4.0,-3.72327
-1,3,0.22,4.0,-4.10442
-1,3,0.23,4.0,-4.49771
-1,3,0.24,4.0,-4.90248
-1,3,0.25,4.0,-5.3182
-1,3,0.26,4.0,-5.74425
-1,3,0.27,4.0,-6.17994
-1,3,0.28,4.0,-6.62441
-1,3,0.29,4.0,-7.07685
-1,3,0.3,4.0,-7.53633
-1,3,0.31,4.0,-8.00173
-1,3,0.32,4.0,-8.47189
-1,3,0.33,4.0,-8.94554
-1,3,0.34,4.0,-9.42123
-1,3,0.35,4.0,-9.8974
-1,3,0.36,4.0,-10.37228
-1,3,0.37,4.0,-10.84413
-1,3,0.38,4.0,-11.31098
-1,3,0.39,4.0,-11.77064
-1,3,0.4,4.0,-12.2208
-1,3,0.41,4.0,-12.65914
-1,3,0.42,4.0,-13.08306
-1,3,0.43,4.0,-13.48987
