Ec,Xi,Eta,k,Fval,Gval
-1,3,0.42,2.0,1.27538,0.40076
-1,3,0.44,2.0,1.28605,0.37154
-1,3,0.46,2.0,1.29422,0.34363
-1,3,0.48,2.0,1.3001,0.31705
-1,3,0.5,2.0,1.30392,0.29183
-1,3,0.52,2.0,1.30588,0.26799
-1,3,0.54,2.0,1.30619,0.24552
-1,3,0.56,2.0,1.30501,0.22442
-1,3,0.58,2.0,1.30254,0.20466
-1,3,0.6,2.0,1.29892,0.18621
-1,3,0.62,2.0,1.29431,0.16904
-1,3,0.64,2.0,1.28884,0.15311
-1,3,0.66,2.0,1.28264,0.13838
-1,3,0.68,2.0,1.27584,0.12478
-1,3,0.7,2.0,1.26852,0.11227
-1,3,0.72,2.0,1.26081,0.10079
-1,3,0.74,2.0,1.25277,0.09029
-1,3,0.76,2.0,1.2445,0.08071
-1,3,0.78,2.0,1.23605,0.07199
-1,3,0.8,2.0,1.22751,0.06407
-1,3,0.82,2.0,1.21891,0.05691
-1,3,0.84,2.0,1.21032,0.05044
-1,3,0.86,2.0,1.20178,0.04461
-1,3,0.88,2.0,1.19331,0.03937
-1,3,0.9,2.0,1.18497,0.03468
-1,3,0.92,2.0,1.17677,0.03049
-1,3,0.94,2.0,1.16874,0.02675
-1,3,0.96,2.0,1.1609,0.02342
-1,3,0.98,2.0,1.15326,0.02047
-1,3,1.0,2.0,1.14584,0.01785
-1,3,1.02,2.0,1.13865,0.01554
-1,3,1.04,2.0,1.1317,0.01351
-1,3,1.06,2.0,1.12498,0.01172
-1,3,1.08,2.0,1.11851,0.01015
-1,3,1.1,2.0,1.11228,0.00877
-1,3,1.12,2.0,1.10629,0.00757
-1,3,1.14,2.0,1.10056,0.00652
-1,3,1.16,2.0,1.09506,0.00561
-1,3,1.18,2.0,1.0898,0.00482
-1,3,1.2,2.0,1.08477,0.00413
-1,3,1.22,2.0,1.07997,0.00354
-1,3,1.24,2.0,1.0754,0.00302
-1,3,1.26,2.0,1.07104,0.00258
-1,3,1.28,2.0,1.06689,0.0022
-1,3,1.3,2.0,1.06295,0.00187
-1,3,1.32,2.0,1.0592,0.00159
-1,3,1.34,2.0,1.05565,0.00135
-1,3,1.36,2.0,1.05228,0.00115
-1,3,1.38,2.0,1.04908,0.00097
-1,3,1.4,2.0,1.04605,0.00082
-1,3,1.42,2.0,1.04319,0.0007
-1,3,1.44,2.0,1.04048,0.00059
-1,3,1.46,2.0,1.03793,0.0005
-1,3,1.48,2.0,1.03551,0.00042
-1,3,1.5,2.0,1.03323,0.00036
-1,3,1.52,2.0,1.03108,0.0003
-1,3,1.54,2.0,1.02906,0.00025
-1,3,1.56,2.0,1.02715,0.00021
-1,3,1.58,2.0,1.02535,0.00018
-1,3,1.6,2.0,1.02366,0.00015
-1,3,1.62,2.0,1.02207,0.00013
-1,3,1.64,2.0,1.02058,0.00011
-1,3,1.66,2.0,1.01918,9e-05
