ETA,Cf1,Cf2,Cf3,Cf4,Cf5
2.705,8.03336,42.08534,110.17738,178.25403,246.31526
2.715,8.17198,50.90747,136.3643,221.80243,307.22177
2.725,8.26934,47.40277,125.65559,203.89017,282.10614
2.735,8.31523,32.47729,80.78995,129.08801,177.37132
2.745,8.30495,10.38279,14.52995,18.66584,22.79014
2.755,8.23879,-12.45197,-53.84246,-95.24482,-136.65923
2.765,8.12271,-29.27757,-104.08997,-178.9183,-253.76251
2.775,7.96838,-35.02913,-121.03857,-207.06702,-293.11459
2.785,7.79224,-27.89244,-99.27564,-170.67677,-242.09601
2.795,7.61469,-9.92903,-45.02737,-80.13982,-115.26642
2.805,7.4578,13.46187,25.46053,37.44717,49.42182
2.815,7.34298,35.12493,90.67738,146.21533,201.73865
2.825,7.28707,48.32577,130.38855,212.43184,294.45563
2.835,7.29895,48.86031,131.9671,215.05266,298.11685
2.845,7.3777,36.4355,94.53723,152.62062,210.68567
2.855,7.51252,14.856,29.53225,44.19437,58.84226
2.865,7.68437,-9.08871,-42.64493,-76.21464,-109.79797
2.875,7.86993,-27.72916,-98.9399,-170.16739,-241.41164
2.885,8.04524,-34.97195,-121.02083,-207.08936,-293.17746
2.895,8.18864,-28.31948,-101.34947,-174.39746,-247.46347
2.905,8.28312,-9.77746,-45.90912,-82.05432,-118.21294
2.915,8.31751,14.69603,27.44472,40.18238,52.90935
2.925,8.28744,37.06781,94.61868,152.15633,209.68108
2.935,8.1958,49.85892,133.17213,216.46799,299.74658
2.945,8.05256,48.66776,129.88434,211.08234,292.26163
2.955,7.87453,33.73036,85.43062,137.11546,188.78448
2.965,7.68396,9.95214,14.47935,18.99423,23.49654
2.975,7.50698,-14.65934,-59.00231,-103.35878,-147.72896
2.985,7.36966,-31.67456,-109.77667,-187.89708,-266.03589
2.995,7.29402,-35.1512,-120.0574,-204.98441,-289.93259
3.005,7.2931,-23.7624,-85.88721,-148.03047,-210.19229
3.015,7.36797,-1.36562,-18.84359,-36.3356,-53.84164
3.025,7.50706,24.24407,57.70786,91.15846,124.59564
3.035,7.68852,44.01892,116.66682,189.29787,261.91187
3.045,7.88478,50.86578,136.81281,222.7401,308.64758
3.055,8.06738,42.24151,110.57644,178.89371,247.19307
3.065,8.21113,21.16919,47.07538,72.96844,98.84801
3.075,8.29702,-4.74777,-30.84601,-56.956,-83.07792
3.085,8.31356,-26.02177,-94.70343,-163.40022,-232.11188
3.095,8.25847,-34.74892,-120.77731,-206.82416,-292.88925
3.105,8.13808,-27.58453,-99.04269,-170.51797,-242.01048
3.115,7.96746,-7.09272,-37.22306,-67.36651,-97.5229
3.125,7.76995,19.09511,41.73645,64.366,86.98417
3.135,7.5743,41.06878,108.04596,175.00757,241.95383
3.145,7.41154,50.37671,136.29201,222.18735,308.06281
3.155,7.30958,43.30303,115.27512,187.22786,259.16104
3.165,7.28749,22.40889,52.64036,82.85654,113.0573
3.175,7.35002,-4.32587,-27.68791,-51.06365,-74.45337
3.185,7.48683,-26.50211,-94.49279,-162.50037,-230.5251
3.195,7.67394,-35.33984,-121.38284,-207.44589,-293.52939
3.205,7.87985,-27.18672,-97.33398,-167.4995,-237.68335
3.215,8.07142,-5.08695,-31.41404,-57.75432,-84.10799
3.225,8.2193,22.28919,50.4198,78.53876,106.64599
3.235,8.3018,44.0108,115.41689,186.80804,258.18396
3.245,8.30692,51.25859,137.14783,223.01909,308.87186
3.255,8.23357,40.95884,106.39668,171.81834,237.22343
3.265,8.0915,17.15948,35.28584,53.40001,71.50147
3.275,7.90107,-10.48672,-47.27193,-84.06956,-120.87991
3.285,7.69151,-30.60452,-107.20944,-183.83147,-260.47058
3.295,7.49746,-34.79385,-119.39171,-204.00937,-288.64722
3.305,7.35385,-21.20979,-78.35012,-135.50764,-192.6824
3.315,7.28862,4.53497,-0.98251,-6.5133,-12.05735
3.325,7.31573,31.6048,80.17166,128.72403,177.26204
3.335,7.43076,48.46623,130.52264,212.56006,294.57819
3.345,7.61167,47.82392,128.2334,208.62299,288.99249
3.355,7.82444,29.85297,73.89828,117.92804,161.94182
3.365,8.03107,2.26557,-9.27502,-20.82811,-32.39393
3.375,8.19646,-22.91718,-85.15568,-147.40884,-209.677
3.385,8.29376,-34.56923,-120.30898,-206.06686,-291.84317
3.395,8.30752,-27.40467,-98.84206,-170.29631,-241.76765
3.405,8.23523,-4.44763,-29.82297,-55.21067,-80.61083
3.415,8.0876,24.15467,56.27979,88.39331,120.49524
3.425,7.88789,45.55703,120.8833,196.19348,271.48743
3.435,7.66959,49.97771,134.57916,219.16151,303.72446
3.445,7.47259,35.21246,90.67958,146.12997,201.56351
3.455,7.3358,7.80011,8.7186,9.6238,10.51536
3.465,7.2885,-19.80294,-73.99747,-128.20734,-182.43297
3.475,7.34211,-34.85976,-119.27838,-203.71684,-288.17557
3.485,7.48574,-30.26267,-105.77415,-181.30504,-256.8558
3.495,7.68965,-7.96618,-39.28886,-70.62589,-101.97766
3.505,7.91287,21.75319,49.42409,77.08259,104.72851
3.515,8.11283,44.98278,118.71031,192.42197,266.11752
3.525,8.25341,50.70298,135.58817,220.45497,305.30328
3.535,8.31004,36.08946,91.63665,147.16856,202.68494
3.545,8.273,8.01478,7.48971,6.95279,6.40393
3.555,8.14785,-20.08995,-76.57583,-133.07544,-189.58899
