ETA,Cf1,Cf2,Cf3,Cf4
1.995,7.29969,44.83479,119.89093,194.92889
2.005,7.3087,48.53809,130.98096,213.40259
2.015,7.3512,27.11243,66.62267,106.11689
2.025,7.42454,-6.5474,-34.50158,-62.46959
2.035,7.52342,-31.61924,-109.91884,-188.23746
2.045,7.64068,-32.18784,-111.86008,-191.5527
2.055,7.76835,-7.50557,-38.06411,-68.6368
2.065,7.89795,27.03876,65.31093,103.56999
2.075,8.02106,49.34545,131.98062,214.59737
2.085,8.12995,44.79835,118.1218,191.42722
2.095,8.2179,16.1085,31.88061,47.64066
2.105,8.27934,-17.94715,-70.41003,-122.88618
2.115,8.31034,-34.605,-120.44957,-206.31216
2.125,8.30848,-22.37815,-83.7633,-145.16354
2.135,8.27323,10.76196,15.73112,20.68984
2.145,8.20603,42.27317,110.39644,178.50522
2.155,8.11045,50.24594,134.50304,218.74188
2.165,7.99207,28.75566,70.27239,111.77538
2.175,7.85831,-7.47138,-38.13998,-68.82068
2.185,7.71864,-32.92064,-114.21271,-195.52299
2.195,7.58334,-29.28573,-103.03791,-176.80872
2.205,7.46332,1.06225,-11.74965,-24.57426
2.215,7.36906,36.20653,93.86971,151.51775
2.225,7.30947,50.26983,136.17462,222.05873
2.235,7.29049,32.52631,82.98491,133.42661
2.245,7.31453,-4.12405,-27.01208,-49.91397
2.255,7.37986,-32.21827,-111.42934,-190.65996
2.265,7.48068,-30.22847,-105.66185,-181.11522
2.275,7.60802,0.73071,-13.03435,-26.81293
2.285,7.75072,37.12,95.84653,154.55772
2.295,7.89697,50.71416,136.33331,221.93272
2.305,8.03492,30.67007,75.92879,121.17272
2.315,8.15389,-7.39978,-38.51657,-69.64581
2.325,8.24467,-33.18569,-116.06011,-198.95222
2.335,8.30047,-25.71146,-93.74792,-161.8006
2.345,8.3166,9.35989,11.43786,13.50498
2.355,8.29158,43.63686,114.31583,184.98004
2.365,8.22638,48.81784,129.98721,211.13895
2.375,8.12531,20.23271,44.43789,68.63094
2.385,7.9956,-18.60856,-71.82732,-125.0594
2.395,7.84724,-35.11693,-121.05956,-207.02095
2.405,7.69273,-15.1213,-60.76057,-106.41427
2.415,7.54596,24.49756,58.39067,92.27115
2.425,7.42148,49.6,133.94228,218.26512
2.435,7.33245,38.08601,99.57935,161.05513
2.445,7.28913,-0.39159,-15.76368,-31.14937
2.455,7.29687,-32.13578,-111.01585,-189.9153
2.465,7.35559,-28.80191,-101.13189,-173.48128
2.475,7.45912,7.02144,6.13586,5.23693
2.485,7.59641,43.3657,114.89103,186.39893
2.495,7.75323,47.25417,126.24131,205.20915
2.505,7.91369,14.92422,28.9351,42.93279
2.515,8.06253,-23.9804,-88.07806,-152.19133
2.525,8.18588,-33.18962,-115.95469,-198.7383
2.535,8.27255,-3.67254,-27.57208,-51.48394
2.545,8.31482,37.14977,94.80927,152.45525
2.555,8.30841,50.59962,135.16829,219.71918
2.565,8.25354,23.5244,54.05641,84.57592
2.575,8.15409,-18.39437,-71.5015,-124.62189
2.585,8.01862,-34.65925,-120.02867,-205.41635
2.595,7.85915,-9.23219,-43.42501,-77.63082
2.605,7.69138,33.08351,83.85746,134.61774
2.615,7.53305,50.3126,135.8568,221.38164
2.625,7.40229,24.86863,59.78988,94.6966
2.635,7.31543,-18.16312,-69.13201,-120.11614
2.645,7.2839,-35.43071,-120.87603,-206.34169
2.655,7.3126,-9.1129,-41.97601,-74.85378
2.665,7.39866,34.18514,87.74617,141.29195
2.675,7.53121,49.92921,134.7097,219.4702
2.685,7.69412,21.60501,49.4158,77.21213
2.695,7.86813,-21.34956,-79.7969,-138.25963
2.705,8.03336,-33.58529,-116.83701,-200.1077
2.715,8.17198,-1.67629,-21.38235,-41.10091
2.725,8.26934,40.78416,105.8026,170.80641
2.735,8.31523,48.28913,128.22353,208.14064
2.745,8.30495,12.45045,20.7324,29.00259
2.755,8.23879,-28.03971,-100.60863,-173.19305
2.765,8.12271,-28.84857,-102.80409,-176.77623
2.775,7.96838,11.14071,17.47647,23.80103
2.785,7.79224,47.65754,127.37493,207.07535
2.795,7.61469,39.63716,103.66934,167.68495
2.805,7.4578,-4.44118,-28.24929,-52.07063
2.815,7.34298,-35.07897,-119.93796,-204.8167
2.825,7.28707,-17.33436,-66.58972,-115.86119
2.835,7.29895,28.76856,71.69647,114.60988
2.845,7.3777,50.22399,135.90109,221.55785
2.855,7.51252,21.97543,50.88995,79.78966
2.865,7.68437,-23.2055,-84.99769,-146.80617
2.875,7.86993,-32.1066,-112.07401,-192.06027
2.885,8.04524,6.29919,2.79755,-0.71629
2.895,8.18864,46.81822,124.06459,201.29437
2.905,8.28312,41.05206,106.57795,172.08781
2.915,8.31751,-4.30638,-29.56311,-54.83192
2.925,8.28744,-34.49242,-120.0654,-205.65601
2.935,8.1958,-12.57036,-54.11255,-95.66792
2.945,8.05256,34.83671,88.39492,141.93974
2.955,7.87453,49.19381,131.81895,214.42599
2.965,7.68396,12.20678,21.24272,30.26592
2.975,7.50698,-30.48407,-106.47955,-182.49268
2.985,7.36966,-25.42424,-91.02538,-156.64394
2.995,7.29402,21.19094,48.97446,76.74435
3.005,7.2931,50.26583,136.196,222.10622
3.015,7.36797,24.4549,58.61709,92.76396
3.025,7.50706,-23.33313,-85.02607,-146.73561
3.035,7.68852,-31.21799,-109.0453,-186.89156
3.045,7.88478,11.57016,18.93137,26.28
3.055,8.06738,49.57675,132.58199,215.56947
3.065,8.21113,32.91246,82.30408,131.68105
3.075,8.29702,-16.56411,-66.29644,-116.04264
3.085,8.31356,-33.05664,-115.8102,-198.58141
3.095,8.25847,5.79057,0.8461,-4.10964
3.105,8.13808,47.94799,127.55549,207.14667
3.115,7.96746,36.16435,92.54668,148.91399
3.125,7.76995,-14.08759,-57.81298,-101.55213
3.135,7.5743,-34.45637,-118.53195,-202.62668
3.145,7.41154,3.09141,-5.55881,-14.22204
3.155,7.30958,46.72991,125.55676,204.36505
3.165,7.28749,35.58704,92.17376,148.74329
3.175,7.35002,-15.12673,-60.09156,-105.07198
3.185,7.48683,-34.17847,-117.5239,-200.88924
3.195,7.67394,5.79004,2.01207,-1.77889
3.205,7.87985,48.50351,129.73727,210.95314
3.215,8.07142,33.10873,83.17191,133.22025
3.225,8.2193,-18.37719,-71.58102,-124.799
3.235,8.3018,-31.51691,-111.16747,-190.83519
3.245,8.30692,13.15585,22.84495,32.5229
3.255,8.23357,50.70754,135.64262,220.56056
3.265,8.0915,25.80751,61.22958,96.63856
3.275,7.90107,-25.34319,-91.84364,-158.35936
3.285,7.69151,-27.19949,-96.99432,-166.80586
3.295,7.49746,23.04116,54.1185,85.1829
3.305,7.35385,50.05639,135.44656,220.81754
3.315,7.28862,12.76766,23.71514,34.64863
3.325,7.31573,-32.77586,-112.97338,-193.19002
3.335,7.43076,-17.18793,-66.43715,-115.70244
3.345,7.61167,36.1824,93.31229,150.42667
3.355,7.82444,45.65217,121.29413,196.91824
3.365,8.03107,-3.40134,-26.27584,-49.16373
3.375,8.19646,-34.76892,-120.71323,-206.67598
3.385,8.29376,0.90599,-13.87859,-28.67516
3.395,8.30752,48.12724,127.7544,207.36519
3.405,8.23523,32.45357,80.87995,129.29225
3.415,8.0876,-21.72411,-81.35841,-141.00748
3.425,7.88789,-28.48414,-101.24056,-174.01395
3.435,7.66959,22.98763,53.61397,84.22762
3.445,7.47259,49.86201,134.62674,219.37256
3.455,7.3358,8.25393,10.0799,11.89215
3.465,7.2885,-34.79235,-118.96853,-203.16452
3.475,7.34211,-9.05006,-41.84503,-74.65484
3.485,7.48574,43.69613,116.10404,188.49461
3.495,7.68965,36.83223,95.10521,153.36166
3.505,7.91287,-18.30149,-70.74141,-123.19655
3.515,8.11283,-29.86407,-105.83089,-181.81509
3.525,8.25341,22.01705,49.53492,77.04073
3.535,8.31004,50.71655,135.51643,220.29903
3.545,8.273,7.74666,6.68504,5.61139
3.555,8.14785,-34.44848,-119.6544,-204.87784
3.565,7.95573,-4.15369,-28.38227,-52.62309
3.575,7.73112,46.85199,125.08125,203.29369
3.585,7.51705,30.61327,76.79454,122.96083
3.595,7.35851,-25.48658,-91.1893,-156.90904
3.605,7.29151,-24.52103,-88.15883,-151.814
3.615,7.33255,32.01625,81.37234,130.71333
3.625,7.47304,45.44391,121.37199,197.28156
3.635,7.68158,-7.8637,-38.96483,-70.08043
3.645,7.91266,-33.7044,-116.95254,-200.21935
3.655,8.11872,14.29791,26.64701,38.98389
3.665,8.25936,51.23244,137.1653,223.08054
3.675,8.30833,11.11758,16.72692,22.32396
3.685,8.25631,-34.17234,-119.04288,-203.93088
3.695,8.11237,-2.90339,-24.9442,-46.99719
3.705,7.90287,48.30095,129.08427,209.85088
3.715,7.66891,25.85227,62.20825,98.55029
3.725,7.46028,-29.87421,-104.55642,-179.25623
3.735,7.32509,-16.894,-65.34378,-113.8091
3.745,7.29688,40.9222,108.16019,175.38126
3.755,7.38381,36.49808,94.71389,152.91293
3.765,7.56533,-22.06985,-81.35245,-140.65173
3.775,7.79808,-25.1662,-91.10741,-157.06543
3.785,8.02889,33.66108,84.91464,136.15398
3.795,8.20822,44.08704,115.83245,187.56158
3.805,8.29917,-13.55332,-57.26837,-100.99714
3.815,8.28359,-29.7385,-105.79498,-181.86804
3.825,8.16423,26.61159,63.49681,100.36969
3.835,7.96426,47.49291,126.5374,205.56523
3.845,7.72502,-7.81901,-38.91723,-70.02884
3.855,7.4998,-33.05686,-114.18398,-195.32957
3.865,7.34316,20.54952,46.95211,73.34123
3.875,7.29619,48.50711,130.91479,213.30359
3.885,7.37253,-4.12491,-27.13035,-50.15035
3.895,7.55277,-34.05204,-117.27588,-200.51889
3.905,7.7909,18.22049,39.06992,59.90627
3.915,8.02885,49.81417,133.37149,216.91096
3.925,8.2117,-1.81965,-21.89191,-41.97729
3.935,8.2995,-33.50632,-117.13097,-200.77303
3.945,8.27339,18.56821,39.14874,59.71763
3.955,8.13834,49.78988,133.0799,216.35292
3.965,7.92296,-3.30743,-25.77805,-48.26158
3.975,7.67533,-33.63585,-116.27179,-198.92584
3.985,7.45522,20.26768,45.88271,71.48457
3.995,7.32035,48.02827,129.42989,210.81305
4.005,7.3091,-7.7221,-37.79546,-67.8837
