ETA,Pi1,Pi2,Pi3,Pi4,Pi5
2.65,-19.85613,-16.38568,-17.11414,-12.58299,-11.96309
2.66,-23.00096,-19.09488,-19.90818,-14.81047,-14.10781
2.67,-17.27378,-14.18007,-14.84507,-10.80954,-10.26664
2.68,-4.14676,-2.90522,-3.22735,-1.61106,-1.42985
2.69,12.81467,11.66564,11.78726,10.28115,9.99612
2.7,28.90647,25.48852,26.03092,21.56104,20.83325
2.71,39.59231,34.66325,35.48412,29.03916,28.01556
2.72,41.80512,36.55259,37.4291,30.55912,29.47031
2.73,34.86407,30.57143,31.26307,25.64361,24.739
2.74,20.72642,18.40382,18.72202,15.67243,15.14878
2.75,3.47489,3.56199,3.42606,3.52165,3.46536
2.76,-11.83752,-9.60682,-10.14426,-7.24921,-6.88844
2.77,-20.66825,-17.19468,-17.96126,-13.44068,-12.83603
2.78,-20.35537,-16.91146,-17.66498,-13.17853,-12.57564
2.79,-10.96278,-8.81265,-9.31325,-6.5103,-6.15363
2.8,4.68096,4.66692,4.58371,4.56671,4.5083
2.81,21.79061,19.40793,19.77959,16.67446,16.16049
2.82,35.0609,30.84266,31.5661,26.06691,25.19925
2.83,40.30616,35.36661,36.22803,29.78714,28.77998
2.84,35.79773,31.4899,32.22992,26.61188,25.72569
2.85,22.86782,20.35815,20.75305,17.47896,16.93822
2.86,5.55944,5.45104,5.38449,5.24058,5.16116
2.87,-10.59982,-8.47295,-8.97077,-6.20167,-5.85249
2.88,-20.34334,-16.87917,-17.63842,-13.12852,-12.52457
2.89,-20.38513,-16.93724,-17.70086,-13.21634,-12.61913
2.9,-10.54653,-8.49085,-8.99679,-6.33202,-6.00696
2.91,6.10063,5.81918,5.75204,5.36554,5.23686
2.92,24.16531,21.35595,21.76638,18.08132,17.46345
2.93,37.66862,32.97596,33.74486,27.60435,26.62362
2.94,42.03004,36.73817,37.62531,30.70674,29.61304
2.95,35.64408,31.26059,31.98317,26.25465,25.34076
2.96,20.50049,18.25338,18.58057,15.64465,15.14873
2.97,1.59779,2.0142,1.84682,2.39078,2.41463
2.98,-14.6909,-11.977,-12.57069,-9.02608,-8.55426
2.99,-22.77849,-18.91751,-19.72224,-14.67979,-13.98389
3,-19.81692,-16.36048,-17.08631,-12.57219,-11.95422
3.01,-6.75401,-5.12338,-5.50567,-3.37534,-3.11194
3.02,11.91573,10.92765,11.03514,9.74633,9.50029
3.03,29.66477,26.17966,26.7512,22.20136,21.46844
3.04,40.2156,35.23591,36.0807,29.57709,28.55066
3.05,39.79295,34.8519,35.68037,29.22301,28.19982
3.06,28.53354,25.14754,25.67448,21.24213,20.51624
3.07,10.50906,9.62706,9.67539,8.50706,8.26319
3.08,-7.68942,-6.03853,-6.47141,-4.33646,-4.0912
3.09,-19.33383,-16.06023,-16.79921,-12.54656,-11.98668
3.1,-20.05499,-16.6784,-17.43306,-13.04353,-12.46146
3.11,-9.52497,-7.61015,-8.08196,-5.59559,-5.29279
3.12,8.33793,7.77359,7.7788,7.03579,6.86335
3.13,26.76937,23.65237,24.14947,20.08106,19.41929
3.14,38.6823,33.92637,34.74217,28.53945,27.5646
3.15,39.38565,34.5553,35.39207,29.09456,28.10806
3.16,28.45155,25.16539,25.71379,21.43147,20.74476
3.17,9.97882,9.27814,9.33698,8.427,8.23984
3.18,-8.90491,-6.97614,-7.41928,-4.90079,-4.58157
3.19,-20.77007,-17.20345,-17.96431,-13.3121,-12.67973
3.2,-20.81205,-17.26522,-18.03196,-13.40996,-12.78593
3.21,-8.82006,-6.97453,-7.42911,-5.03168,-4.74152
