Ri,M,Eta,k,Fval,Gval
-1,1,1.12,2.0,0.8457,0.06949
-1,1,1.14,2.0,0.85219,0.06357
-1,1,1.16,2.0,0.85846,0.05804
-1,1,1.18,2.0,0.86452,0.0529
-1,1,1.2,2.0,0.87037,0.04812
-1,1,1.22,2.0,0.87601,0.0437
-1,1,1.24,2.0,0.88146,0.0396
-1,1,1.26,2.0,0.88671,0.03582
-1,1,1.28,2.0,0.89177,0.03234
-1,1,1.3,2.0,0.89665,0.02915
-1,1,1.32,2.0,0.90134,0.02622
-1,1,1.34,2.0,0.90586,0.02353
-1,1,1.36,2.0,0.91021,0.02108
-1,1,1.38,2.0,0.9144,0.01885
-1,1,1.4,2.0,0.91842,0.01683
-1,1,1.42,2.0,0.92228,0.01499
-1,1,1.44,2.0,0.926,0.01332
-1,1,1.46,2.0,0.92956,0.01182
-1,1,1.48,2.0,0.93298,0.01047
-1,1,1.5,2.0,0.93626,0.00925
-1,1,1.52,2.0,0.93941,0.00816
-1,1,1.54,2.0,0.94242,0.00718
-1,1,1.56,2.0,0.94531,0.00631
-1,1,1.58,2.0,0.94808,0.00553
-1,1,1.6,2.0,0.95072,0.00484
-1,1,1.62,2.0,0.95325,0.00423
-1,1,1.64,2.0,0.95568,0.00368
-1,1,1.66,2.0,0.95799,0.0032
-1,1,1.68,2.0,0.9602,0.00278
-1,1,1.7,2.0,0.96231,0.00241
-1,1,1.72,2.0,0.96432,0.00209
-1,1,1.74,2.0,0.96625,0.0018
-1,1,1.76,2.0,0.96808,0.00155
-1,1,1.78,2.0,0.96982,0.00133
-1,1,1.8,2.0,0.97149,0.00114
-1,1,1.82,2.0,0.97307,0.00098
-1,1,1.84,2.0,0.97458,0.00084
-1,1,1.86,2.0,0.97601,0.00072
-1,1,1.88,2.0,0.97737,0.00061
-1,1,1.9,2.0,0.97867,0.00052
-1,1,1.92,2.0,0.9799,0.00044
-1,1,1.94,2.0,0.98106,0.00037
-1,1,1.96,2.0,0.98217,0.00032
-1,1,1.98,2.0,0.98322,0.00027
-1,1,2.0,2.0,0.98422,0.00022
-1,1,2.02,2.0,0.98516,0.00019
-1,1,2.04,2.0,0.98605,0.00016
-1,1,2.06,2.0,0.9869,0.00013
-1,1,2.08,2.0,0.9877,0.00011
-1,1,2.1,2.0,0.98845,9e-05
-1,1,2.12,2.0,0.98917,8e-05
-1,1,2.14,2.0,0.98984,7e-05
-1,1,2.16,2.0,0.99048,5e-05
-1,1,2.18,2.0,0.99108,5e-05
-1,1,2.2,2.0,0.99165,4e-05
-1,1,2.22,2.0,0.99219,3e-05
-1,1,2.24,2.0,0.99269,3e-05
-1,1,2.26,2.0,0.99317,2e-05
-1,1,2.28,2.0,0.99361,2e-05
-1,1,2.3,2.0,0.99403,1e-05
-1,1,2.32,2.0,0.99443,1e-05
-1,1,2.34,2.0,0.9948,1e-05
-1,1,2.36,2.0,0.99515,1e-05
-1,1,2.38,2.0,0.99548,1e-05
-1,1,2.4,2.0,0.99579,1e-05
-1,1,2.42,2.0,0.99608,0.0
-1,1,2.44,2.0,0.99635,0.0
-1,1,2.46,2.0,0.9966,0.0
-1,1,2.48,2.0,0.99684,0.0
-1,1,2.5,2.0,0.99706,0.0
-1,1,2.52,2.0,0.99727,0.0
-1,1,2.54,2.0,0.99746,0.0
-1,1,2.56,2.0,0.99764,0.0
-1,1,2.58,2.0,0.99781,0.0
-1,1,2.6,2.0,0.99797,0.0
-1,1,2.62,2.0,0.99812,0.0
-1,1,2.64,2.0,0.99826,0.0
-1,1,2.66,2.0,0.99839,0.0
-1,1,2.68,2.0,0.99851,0.0
-1,1,2.7,2.0,0.99862,0.0
-1,1,2.72,2.0,0.99873,0.0
-1,1,2.74,2.0,0.99883,0.0
-1,1,2.76,2.0,0.99892,0.0
-1,1,2.78,2.0,0.999,0.0
-1,1,2.8,2.0,0.99908,0.0
-1,1,2.82,2.0,0.99915,0.0
-1,1,2.84,2.0,0.99922,0.0
-1,1,2.86,2.0,0.99928,0.0
-1,1,2.88,2.0,0.99934,0.0
-1,1,2.9,2.0,0.99939,0.0
-1,1,2.92,2.0,0.99944,0.0
-1,1,2.94,2.0,0.99948,0.0
-1,1,2.96,2.0,0.99953,0.0
-1,1,2.98,2.0,0.99956,0.0
-1,1,3.0,2.0,0.9996,0.0
-1,1,3.02,2.0,0.99963,0.0
-1,1,3.04,2.0,0.99967,0.0
-1,1,3.06,2.0,0.99969,0.0
-1,1,3.08,2.0,0.99972,0.0
-1,1,3.1,2.0,0.99975,0.0
-1,1,3.12,2.0,0.99977,0.0
-1,1,3.14,2.0,0.99979,0.0
-1,1,3.16,2.0,0.99981,0.0
-1,1,3.18,2.0,0.99983,0.0
-1,1,3.2,2.0,0.99984,0.0
-1,1,3.22,2.0,0.99986,0.0
-1,1,3.24,2.0,0.99987,0.0
-1,1,3.26,2.0,0.99989,0.0
-1,1,3.28,2.0,0.9999,0.0
-1,1,3.3,2.0,0.99991,0.0
-1,1,3.32,2.0,0.99992,0.0
-1,1,3.34,2.0,0.99993,0.0
-1,1,3.36,2.0,0.99994,0.0
-1,1,3.38,2.0,0.99994,0.0
-1,1,3.4,2.0,0.99995,0.0
-1,1,3.42,2.0,0.99996,0.0
-1,1,3.44,2.0,0.99996,0.0
-1,1,3.46,2.0,0.99997,0.0
-1,1,3.48,2.0,0.99997,0.0
-1,1,3.5,2.0,0.99998,0.0
-1,1,3.52,2.0,0.99998,0.0
-1,1,3.54,2.0,0.99999,0.0
-1,1,3.56,2.0,0.99999,0.0
-1,1,3.58,2.0,1.0,0.0
-1,1,3.6,2.0,1.0,0.0
-1,1,3.62,2.0,1.0,0.0
-1,1,3.64,2.0,1.0,0.0
-1,1,3.66,2.0,1.00001,0.0
-1,1,3.68,2.0,1.00001,0.0
-1,1,3.7,2.0,1.00001,0.0
-1,1,3.72,2.0,1.00001,0.0
-1,1,3.74,2.0,1.00001,0.0
-1,1,3.76,2.0,1.00001,0.0
-1,1,3.78,2.0,1.00001,0.0
-1,1,3.8,2.0,1.00001,0.0
-1,1,3.82,2.0,1.00001,0.0
-1,1,3.84,2.0,1.00001,0.0
-1,1,3.86,2.0,1.00002,0.0
-1,1,3.88,2.0,1.00002,0.0
-1,1,3.9,2.0,1.00002,0.0
-1,1,3.92,2.0,1.00002,0.0
-1,1,3.94,2.0,1.00002,0.0
-1,1,3.96,2.0,1.00002,0.0
-1,1,3.98,2.0,1.00002,0.0
-1,1,4.0,2.0,1.00002,0.0
-1,1,4.02,2.0,1.00002,0.0
-1,1,4.04,2.0,1.00002,0.0
-1,1,4.06,2.0,1.00002,0.0
-1,1,4.08,2.0,1.00002,0.0
-1,1,4.1,2.0,1.00002,0.0
-1,1,4.12,2.0,1.00002,0.0
-1,1,4.14,2.0,1.00002,0.0
-1,1,4.16,2.0,1.00002,0.0
-1,1,4.18,2.0,1.00002,0.0
-1,1,4.2,2.0,1.00002,0.0
-1,1,4.22,2.0,1.00002,0.0
-1,1,4.24,2.0,1.00002,0.0
-1,1,4.26,2.0,1.00002,0.0
-1,1,4.28,2.0,1.00002,0.0
-1,1,4.3,2.0,1.00002,0.0
-1,1,4.32,2.0,1.00002,0.0
-1,1,4.34,2.0,1.00002,0.0
-1,1,4.36,2.0,1.00002,0.0
-1,1,4.38001,2.0,1.00002,0.0
-1,1,4.40001,2.0,1.00002,0.0
-1,1,4.42001,2.0,1.00002,0.0
-1,1,4.44001,2.0,1.00002,0.0
-1,1,4.46001,2.0,1.00003,0.0
-1,1,4.48001,2.0,1.00003,0.0
-1,1,4.50001,2.0,1.00003,0.0
-1,1,4.52001,2.0,1.00003,0.0
-1,1,4.54001,2.0,1.00003,0.0
-1,1,4.56001,2.0,1.00003,0.0
-1,1,4.58001,2.0,1.00003,0.0
-1,1,4.60001,2.0,1.00003,0.0
-1,1,4.62001,2.0,1.00002,0.0
-1,1,4.64001,2.0,1.00002,0.0
-1,1,4.66001,2.0,1.00002,0.0
-1,1,4.68001,2.0,1.00002,0.0
-1,1,4.70001,2.0,1.00002,0.0
-1,1,4.72001,2.0,1.00002,0.0
-1,1,4.74001,2.0,1.00002,0.0
-1,1,4.76001,2.0,1.00002,0.0
-1,1,4.78001,2.0,1.00001,0.0
-1,1,4.80001,2.0,1.00001,0.0
-1,1,4.82002,2.0,1.00001,0.0
-1,1,4.84002,2.0,1.00001,0.0
-1,1,4.86002,2.0,1.00001,0.0
-1,1,4.88002,2.0,1.00001,0.0
-1,1,4.90002,2.0,1.0,0.0
-1,1,4.92002,2.0,1.0,0.0
-1,1,4.94002,2.0,1.0,0.0
-1,1,4.96002,2.0,1.0,0.0
-1,1,4.98002,2.0,1.0,0.0
-1,1,5.00002,2.0,1.0,0.0
-1,3,0.0,3.0,0.0949,1.0
-1,3,0.02,3.0,0.07814,0.98382
-1,3,0.04,3.0,0.15235,0.96624
-1,3,0.06,3.0,0.22271,0.94659
-1,3,0.08,3.0,0.28929,0.92511
-1,3,0.1,3.0,0.35218,0.902
-1,3,0.12,3.0,0.41144,0.87748
-1,3,0.14,3.0,0.4672,0.85172
-1,3,0.16,3.0,0.51953,0.82492
-1,3,0.18,3.0,0.56856,0.79726
-1,3,0.2,3.0,0.61438,0.7689
-1,3,0.22,3.0,0.65711,0.74
-1,3,0.24,3.0,0.69687,0.71072
-1,3,0.26,3.0,0.73377,0.68119
-1,3,0.28,3.0,0.76794,0.65156
-1,3,0.3,3.0,0.79948,0.62195
-1,3,0.32,3.0,0.82854,0.59249
-1,3,0.34,3.0,0.85521,0.56327
