ETA,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12
1.62,0.89763,0.01445,0.95325,0.00423,1.00969,0.00026,1.02213,0.00013,0.99069,0.00106,0.99413,0.00075,1.00357,0.00022,1.00829,0.00012,0.99917,0.00036,0.99955,0.00031,1.00087,0.00018,1.00185,0.00013
1.64,0.90238,0.01293,0.95568,0.00368,1.00909,0.00021,1.02064,0.00011,0.99135,0.0009,0.99455,0.00063,1.0033,0.00018,1.00763,0.0001,0.99925,0.0003,0.99959,0.00026,1.00078,0.00015,1.00167,0.00011
1.66,0.90694,0.01155,0.95799,0.0032,1.00853,0.00018,1.01924,9.00E-05,0.99196,0.00076,0.99494,0.00053,1.00304,0.00015,1.00703,8.00E-05,0.99933,0.00024,0.99963,0.00021,1.0007,0.00012,1.00149,9.00E-05
1.68,0.91133,0.01029,0.9602,0.00278,1.008,0.00014,1.01792,8.00E-05,0.99254,0.00064,0.9953,0.00045,1.0028,0.00012,1.00646,7.00E-05,0.99939,0.0002,0.99967,0.00017,1.00063,0.0001,1.00134,7.00E-05
1.7,0.91556,0.00916,0.96231,0.00241,1.0075,0.00012,1.01669,6.00E-05,0.99307,0.00054,0.99564,0.00037,1.00258,0.0001,1.00594,6.00E-05,0.99945,0.00017,0.9997,0.00014,1.00056,8.00E-05,1.0012,6.00E-05
1.72,0.91962,0.00813,0.96432,0.00209,1.00702,0.0001,1.01554,5.00E-05,0.99357,0.00045,0.99596,0.00031,1.00238,8.00E-05,1.00547,5.00E-05,0.99951,0.00014,0.99973,0.00012,1.0005,7.00E-05,1.00108,5.00E-05
1.74,0.92352,0.00721,0.96625,0.0018,1.00657,8.00E-05,1.01445,4.00E-05,0.99403,0.00038,0.99625,0.00026,1.00219,7.00E-05,1.00502,4.00E-05,0.99956,0.00011,0.99976,0.0001,1.00045,5.00E-05,1.00097,4.00E-05
1.76,0.92726,0.00638,0.96808,0.00155,1.00615,6.00E-05,1.01344,4.00E-05,0.99446,0.00032,0.99653,0.00022,1.00202,5.00E-05,1.00461,3.00E-05,0.9996,9.00E-05,0.99978,8.00E-05,1.0004,4.00E-05,1.00086,3.00E-05
1.78,0.93085,0.00564,0.96982,0.00133,1.00575,5.00E-05,1.01249,3.00E-05,0.99486,0.00027,0.99678,0.00018,1.00186,4.00E-05,1.00424,2.00E-05,0.99964,8.00E-05,0.9998,6.00E-05,1.00036,3.00E-05,1.00077,2.00E-05
1.8,0.93429,0.00497,0.97149,0.00114,1.00538,4.00E-05,1.01161,3.00E-05,0.99524,0.00022,0.99702,0.00015,1.00171,4.00E-05,1.00389,2.00E-05,0.99968,6.00E-05,0.99982,5.00E-05,1.00032,3.00E-05,1.00069,2.00E-05
1.82,0.93759,0.00437,0.97307,0.00098,1.00502,4.00E-05,1.01078,2.00E-05,0.99559,0.00018,0.99724,0.00012,1.00157,3.00E-05,1.00357,2.00E-05,0.99971,5.00E-05,0.99984,4.00E-05,1.00029,2.00E-05,1.00062,2.00E-05
1.84,0.94075,0.00384,0.97458,0.00084,1.00469,3.00E-05,1.01,2.00E-05,0.99591,0.00015,0.99745,0.0001,1.00145,2.00E-05,1.00327,1.00E-05,0.99974,4.00E-05,0.99986,3.00E-05,1.00026,2.00E-05,1.00055,1.00E-05
